,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3212,3213,733.6127,22158.3,1.3,733.6126,0.12,6.0,C43 [13]C2 H81 O6 N ,,ko6,2,43,81,6,1,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,733.6131,732.605585,C39[13C]2H83N2O6P,2.0,-0.000252,-0.3444,N2PO6[13C]2C39H83
3213,3214,734.5605,153875.8,9.04,734.5605,-0.03,2.5,C38 [13]C2 H79 O8 N P ,,ko6,2,38,79,8,1,1,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,734.5609,733.554673,C33[13C]7H75N2O7P,5.0,0.001036,1.4126,N2PO7[13C]7C33H75
3214,3215,734.5684,110673.8,6.5,734.5686,-0.22,2.5,C38 [13]C3 H80 O8 P ,,ko6,2,38,80,8,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,734.5688,733.560365,C42[13C]H77N2O5P,7.0,-0.001172,-1.5976,N2PO5[13C]C42H77
3215,3216,734.6161,9251.8,0.54,734.6163,-0.18,9.5,C48 [13]C H81 O4 ,,ko6,2,48,81,4,0,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,734.6165,733.60894,C38[13C]3H83N2O6P,2.0,-0.000297,-0.4055,N2PO6[13C]3C38H83
3216,3217,735.5637,339609.9,19.95,735.5638,-0.14,2.5,C37 [13]C3 H79 O8 N P ,,ko6,2,37,79,8,1,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,735.5641,734.558028,C32[13C]8H75N2O7P,5.0,0.001191,1.6215,N2PO7[13C]8C32H75
3217,3218,735.5986,3858.5,0.23,735.5981,0.5,11.0,C44 [13]C4 H77 O4 N ,,ko6,2,44,77,4,1,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,735.599,734.589943,C32[13C]9H78N2O6P,4.5,-0.001794,-2.4416,N2PO6[13C]9C32H78
3218,3219,735.6193,7365.6,0.43,735.6193,0.07,6.0,C41 [13]C4 H81 O6 N ,,ko6,2,41,81,6,1,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,735.6197,734.612294,C37[13C]4H83N2O6P,2.0,-0.000143,-0.1942,N2PO6[13C]4C37H83
3219,3220,736.5671,217476.3,12.77,736.5672,-0.13,2.5,C36 [13]C4 H79 O8 N P ,,ko6,2,36,79,8,1,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,736.5675,735.561383,C31[13C]9H75N2O7P,5.0,0.001146,1.5579,N2PO7[13C]9C31H75
3220,3221,737.5708,242728.9,14.26,737.5709,-0.16,6.0,C41 [13]C3 H79 O6 P ,,ko6,2,41,79,6,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,737.5712,736.564738,C30[13C]10H75N2O7P,5.0,0.000801,1.0872,N2PO7[13C]10C30H75
3221,3222,737.5782,198310.4,11.65,737.5781,0.1,10.0,C45 [13]C2 H78 O3 N P ,,ko6,2,45,78,3,1,1,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,737.5786,736.57043,C39[13C]4H77N2O5P,7.0,-0.000907,-1.232,N2PO5[13C]4C39H77
3222,3223,737.6137,6902.4,0.41,737.6138,-0.1,10.0,C44 [13]C4 H79 O4 N ,,ko6,2,44,79,4,1,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,737.6141,736.605593,C32[13C]9H80N2O6P,3.5,-0.001244,-1.6882,N2PO6[13C]9C32H80
3223,3224,738.507,4041.1,0.24,738.5071,-0.15,14.0,C38 [13]C8 H66 O7 ,,ko6,2,38,66,7,0,0,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,738.5074,737.501013,C36[13C]5H69N2O7P,9.0,0.000876,1.1883,N2PO7[13C]5C36H69
3224,3225,738.5416,10788.2,0.63,738.5411,0.44,15.0,C48 [13]C H71 O4 N ,,ko6,2,48,71,4,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,738.542,737.533553,C29[13C]14H68N2O5P,11.5,-0.001184,-1.6058,N2PO5[13C]14C29H68
3225,3226,738.5739,134660.9,7.91,738.5739,-0.02,2.5,C34 [13]C6 H79 O8 N P ,,ko6,2,34,79,8,1,1,6,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,738.5743,737.568093,C29[13C]11H75N2O7P,5.0,0.001056,1.4312,N2PO7[13C]11C29H75
3226,3227,738.582,116528.7,6.84,738.582,-0.01,13.5,C50 H76 O3 N ,,ko6,2,50,76,3,1,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,738.5824,737.573784,C38[13C]5H77N2O5P,7.0,-0.001353,-1.8339,N2PO5[13C]5C38H77
3227,3228,738.6601,8120.8,0.48,738.6601,0.0,-1.0,C39 [13]C3 H90 O6 N P ,,ko6,2,39,90,6,1,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,738.6605,737.653053,C26[13C]13H85N2O7P,-1.0,-0.000184,-0.25,N2PO7[13C]13C26H85
3228,3229,739.5444,5032.5,0.3,739.5445,-0.06,15.0,C47 [13]C2 H71 O4 N ,,ko6,2,47,71,4,1,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,739.5448,738.536907,C28[13C]15H68N2O5P,11.5,-0.00063,-0.8524,N2PO5[13C]15C28H68
3229,3230,739.5775,149273.6,8.77,739.5773,0.19,2.5,C33 [13]C7 H79 O8 N P ,,ko6,2,33,79,8,1,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,739.5779,738.571447,C28[13C]12H75N2O7P,5.0,0.00081,1.0973,N2PO7[13C]12C28H75
3230,3231,739.5852,135142.8,7.94,739.5853,-0.17,13.5,C49 [13]C H76 O3 N ,,ko6,2,49,76,3,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,739.5856,738.577139,C37[13C]6H77N2O5P,7.0,-0.001198,-1.6217,N2PO5[13C]6C37H77
3231,3232,739.6631,3788.7,0.22,739.6631,-0.04,3.5,C42 [13]C4 H87 O6 ,,ko6,2,42,87,6,0,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,739.6635,738.656407,C25[13C]14H85N2O7P,-1.0,0.00017,0.2307,N2PO7[13C]14C25H85
3232,3233,740.5806,72682.4,4.27,740.5806,0.03,2.5,C32 [13]C8 H79 O8 N P ,,ko6,2,32,79,8,1,1,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,740.581,739.574802,C27[13C]13H75N2O7P,5.0,0.001065,1.4404,N2PO7[13C]13C27H75
3233,3234,740.5887,70184.2,4.12,740.5887,0.04,13.5,C48 [13]C2 H76 O3 N ,,ko6,2,48,76,3,1,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,740.5891,739.580494,C36[13C]7H77N2O5P,7.0,-0.001343,-1.8158,N2PO5[13C]7C36H77
3234,3235,740.6756,3748.3,0.22,740.6754,0.16,2.5,C43 [13]C3 H89 O6 ,,ko6,2,43,89,6,0,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,740.676,739.668703,C26[13C]13H87N2O7P,-2.0,-0.000034,-0.0464,N2PO7[13C]13C26H87
3235,3236,741.5306,17681.7,1.04,741.5306,-0.06,12.5,C38 [13]C8 H69 O7 ,,ko6,2,38,69,7,0,0,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.531,740.524488,C36[13C]5H72N2O7P,7.5,0.000751,1.0148,N2PO7[13C]5C36H72
