name,area,deq,group
koiwat_1_0196_RGB Trans.tiff,5608.98,84.51,ko
koiwat_1_0196_RGB Trans.tiff,1497.66,43.67,ko
koiwat_1_0196_RGB Trans.tiff,2882.81,60.58,ko
koiwat_1_0196_RGB Trans.tiff,3043.75,62.25,ko
koiwat_1_0196_RGB Trans.tiff,960.16,34.96,ko
koiwat_1_0196_RGB Trans.tiff,327.34,20.42,ko
koiwat_1_0196_RGB Trans.tiff,3357.81,65.39,ko
koiwat_1_0196_RGB Trans.tiff,3728.12,68.9,ko
koiwat_1_0196_RGB Trans.tiff,1187.5,38.88,ko
koiwat_1_0196_RGB Trans.tiff,1130.86,37.95,ko
koiwat_1_0196_RGB Trans.tiff,411.72,22.9,ko
koiwat_1_0196_RGB Trans.tiff,2051.95,51.11,ko
koiwat_1_0196_RGB Trans.tiff,13092.97,129.11,ko
koiwat_1_0196_RGB Trans.tiff,6932.81,93.95,ko
koiwat_1_0196_RGB Trans.tiff,4555.08,76.16,ko
koiwat_1_0196_RGB Trans.tiff,8823.05,105.99,ko
koiwat_1_0196_RGB Trans.tiff,6097.27,88.11,ko
koiwat_1_0196_RGB Trans.tiff,4046.09,71.77,ko
koiwat_1_0196_RGB Trans.tiff,3339.84,65.21,ko
koiwat_1_0196_RGB Trans.tiff,6904.69,93.76,ko
