,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3392,3393,775.5424,10010.9,0.59,775.5425,-0.13,12.5,C49 H76 O5 P ,,ko6,2,49,76,5,0,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.5428,774.534825,C43[13C]2H75NO7P,9.5,-0.000712,-0.9192,NPO7[13C]2C43H75
3393,3394,775.5765,4032.6,0.24,775.5764,0.12,17.5,C50 [13]C3 H74 O3 N ,,ko6,2,50,74,3,1,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.5769,774.569989,C36[13C]7H78NO8P,6.0,0.000352,0.4544,NPO8[13C]7C36H78
3394,3395,775.5948,14749.1,0.87,775.5948,0.0,8.0,C44 [13]C3 H80 O8 ,,ko6,2,44,80,8,0,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.5952,774.58787,C40[13C]3H82NO8P,4.0,-0.000067,-0.0868,NPO8[13C]3C40H82
3395,3396,775.6124,4972.6,0.29,775.6122,0.19,2.5,C42 [13]C2 H86 O8 P ,,ko6,2,42,86,8,0,1,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.6128,774.606374,C37[13C]7H82NO7P,5.0,0.000837,1.0812,NPO7[13C]7C37H82
3396,3397,775.6218,4587.8,0.27,775.6218,0.07,4.5,C37 [13]C8 H84 O7 P ,,ko6,2,37,84,7,0,1,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.6222,774.615315,C39[13C]5H84NO7P,4.0,0.000378,0.4878,NPO7[13C]5C39H84
3397,3398,775.7215,16215.0,0.95,775.7215,0.0,-0.5,C45 [13]C H96 O7 N ,,ko6,2,45,96,7,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.7219,774.713685,C39[13C]4H97NO7P,-3.5,-0.000952,-1.2283,NPO7[13C]4C39H97
3398,3399,776.5375,6609.4,0.39,776.5374,0.06,17.0,C52 H72 O5 ,,ko6,2,52,72,5,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,776.5379,775.52924,C40[13C]5H73NO7P,10.5,-0.001397,-1.802,NPO7[13C]5C40H73
3399,3400,776.5581,17550.3,1.03,776.558,0.1,8.5,C43 [13]C3 H78 O7 P ,,ko6,2,43,78,7,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,776.5585,775.550993,C30[13C]13H73NO8P,8.5,-0.000244,-0.3148,NPO8[13C]13C30H73
3400,3401,776.5992,8499.5,0.5,776.599,0.17,7.0,C45 [13]C H81 O8 N ,,ko6,2,45,81,8,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,776.5996,775.591849,C32[13C]12H78NO7P,7.0,-0.000488,-0.6298,NPO7[13C]12C32H78
3401,3402,776.6632,4124.3,0.24,776.6632,0.0,9.5,C51 [13]C H87 O4 ,,ko6,2,51,87,4,0,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,776.6636,775.658304,C32[13C]10H88NO8P,0.0,0.001967,2.5356,NPO8[13C]10C32H88
3402,3403,776.7255,9111.9,0.54,776.7252,0.23,3.0,C50 H96 O5 ,,ko6,2,50,96,5,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,776.7259,775.71704,C38[13C]5H97NO7P,-3.5,-0.001597,-2.0584,NPO7[13C]5C38H97
3403,3404,777.5412,7227.3,0.42,777.5411,0.12,12.5,C47 [13]C H75 O5 N P ,,ko6,2,47,75,5,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,777.5416,776.532594,C39[13C]6H73NO7P,10.5,-0.001743,-2.2442,NPO7[13C]6C39H73
3404,3405,777.5504,6073.3,0.36,777.5503,0.08,19.0,C46 [13]C7 H70 O4 ,,ko6,2,46,70,4,0,0,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,777.5508,776.541535,C41[13C]4H75NO7P,9.5,-0.002002,-2.5784,NPO7[13C]4C41H75
3405,3406,777.5613,8657.2,0.51,777.5614,-0.11,8.5,C42 [13]C4 H78 O7 P ,,ko6,2,42,78,7,0,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,777.5617,776.554348,C29[13C]14H73NO8P,8.5,-0.000089,-0.115,NPO8[13C]14C29H73
