mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
629.5578,1059888.6,0.5,629.56,-2.17,1,C37 H75 O6 N ,sc_nuc_1
630.5418,301242.6,0.14,630.544,-2.17,1,C37 H74 O7 ,sc_nuc_1
630.561,413784.8,0.2,630.5596,1.44,0.5,C37 H77 O4 N P ,sc_nuc_1
631.4903,167482.2,0.08,631.4943,-4.05,6.5,C39 H67 O6 ,sc_nuc_1
632.3577,172150.1,0.08,632.3569,0.76,5.5,C31 H55 O10 N P ,sc_nuc_1
633.0358,248869.8,0.12,633.1379,-102.07,15.5,C29 H30 O14 P ,sc_nuc_1
633.5106,180253,0.09,633.5103,0.35,1,C35 H72 O6 N P ,sc_nuc_1
633.6562,232806.9,0.11,633.6191,37.04,2.5,C42 H81 O3 ,sc_nuc_1
634.4461,36874312,17.47,634.4453,0.78,2.5,C33 H65 O8 N P ,sc_nuc_1
635.0514,271269.8,0.13,635.1409,-89.52,15,C28 H30 O14 N P ,sc_nuc_1
635.2927,326663.2,0.15,635.2932,-0.48,19.5,C40 H44 O5 P ,sc_nuc_1
635.4495,12929910,6.13,635.4473,2.18,11,C40 H62 O3 N P ,sc_nuc_1
636.4529,1822452.3,0.86,636.4524,0.5,6,C37 H65 O6 P ,sc_nuc_1
637.3729,707492.8,0.34,637.3722,0.63,3.5,C31 H58 O11 P ,sc_nuc_1
637.5056,519931.2,0.25,637.5052,0.37,0,C34 H72 O7 N P ,sc_nuc_1
637.5419,581697.6,0.28,637.5416,0.28,-1,C35 H76 O6 N P ,sc_nuc_1
637.5896,490496.7,0.23,637.6015,-11.87,2,C40 H79 O4 N ,sc_nuc_1
638.3764,163985.1,0.08,638.3765,-0.17,21,C45 H50 O3 ,sc_nuc_1
638.5088,160713.1,0.08,638.5127,-3.88,4,C38 H70 O7 ,sc_nuc_1
638.5455,208912.3,0.1,638.5491,-3.6,3,C39 H74 O6 ,sc_nuc_1
639.391,171554.2,0.08,639.3906,0.47,7,C34 H58 O8 N P ,sc_nuc_1
639.5211,414260.9,0.2,639.5208,0.28,-1,C34 H74 O7 N P ,sc_nuc_1
639.5576,1380600.1,0.65,639.5569,0.72,2.5,C39 H75 O6 ,sc_nuc_1
640.5609,483499.9,0.23,640.5647,-3.83,2,C39 H76 O6 ,sc_nuc_1
641.4064,754957.8,0.36,641.4062,0.24,6,C34 H60 O8 N P ,sc_nuc_1
641.5733,1259803.4,0.6,641.5726,0.72,1.5,C39 H77 O6 ,sc_nuc_1
642.4099,250550.1,0.12,642.4113,-1.4,1,C31 H63 O11 P ,sc_nuc_1
642.4873,220055.4,0.1,642.4868,0.5,3.5,C36 H69 O6 N P ,sc_nuc_1
642.5764,503885.6,0.24,642.5804,-3.99,1,C39 H78 O6 ,sc_nuc_1
644.5993,1079445.9,0.51,644.5987,0.63,4.5,C42 H78 O3 N ,sc_nuc_1
645.0557,157405.3,0.07,645.1379,-82.19,16.5,C30 H30 O14 P ,sc_nuc_1
645.4509,322543.7,0.15,645.4501,0.84,3.5,C35 H66 O8 P ,sc_nuc_1
645.6027,469193.6,0.22,645.6039,-1.15,-0.5,C39 H81 O6 ,sc_nuc_1
646.446,447569.9,0.21,646.4453,0.65,3.5,C34 H65 O8 N P ,sc_nuc_1
646.615,3374848.5,1.6,646.6144,0.63,3.5,C42 H80 O3 N ,sc_nuc_1
647.0513,227499,0.11,647.1409,-89.64,16,C29 H30 O14 N P ,sc_nuc_1
647.6184,1334979.9,0.63,647.6222,-3.84,3,C42 H81 O3 N ,sc_nuc_1
647.6719,255249.8,0.12,647.6348,37.13,2.5,C43 H83 O3 ,sc_nuc_1
648.6218,209131.2,0.1,648.63,-8.17,2.5,C42 H82 O3 N ,sc_nuc_1
648.6306,2030439.6,0.96,648.63,0.62,2.5,C42 H82 O3 N ,sc_nuc_1
649.0304,233040.2,0.11,649.148,-117.59,19.5,C33 H30 O12 P ,sc_nuc_1
649.0671,315000.8,0.15,649.148,-80.96,19.5,C33 H30 O12 P ,sc_nuc_1
649.634,927876.9,0.44,649.6378,-3.85,2,C42 H83 O3 N ,sc_nuc_1
651.0263,206001.8,0.1,651.1511,-124.83,19,C32 H30 O12 N P ,sc_nuc_1
653.0418,286098.4,0.14,653.143,-101.11,18.5,C32 H30 O13 P ,sc_nuc_1
653.5846,374569,0.18,653.5878,-3.25,6.5,C44 H77 O3 ,sc_nuc_1
654.5605,1877930,0.89,654.5596,0.89,2.5,C39 H77 O4 N P ,sc_nuc_1
654.5677,341843.7,0.16,654.5678,-0.07,2.5,C39 H76 O6 N ,sc_nuc_1
654.5799,168270.9,0.08,654.5804,-0.47,2,C40 H78 O6 ,sc_nuc_1
655.5082,522502,0.25,655.5072,1.04,3.5,C38 H72 O6 P ,sc_nuc_1
655.5637,894929.2,0.42,655.5671,-3.4,6.5,C43 H75 O4 ,sc_nuc_1
656.5572,458654.1,0.22,656.5597,-2.44,2,C39 H76 O7 ,sc_nuc_1
656.5761,3319305.8,1.57,656.5752,0.88,1.5,C39 H79 O4 N P ,sc_nuc_1
657.5793,1365125.4,0.65,657.5827,-3.42,5.5,C43 H77 O4 ,sc_nuc_1
658.5731,879661.8,0.42,658.5753,-2.16,1,C39 H78 O7 ,sc_nuc_1
659.0711,211610.2,0.1,659.1409,-69.86,17,C30 H30 O14 N P ,sc_nuc_1
659.4017,220618.3,0.1,659.4015,0.21,1,C30 H62 O12 N P ,sc_nuc_1
659.4663,156056.4,0.07,659.4657,0.56,3.5,C36 H68 O8 P ,sc_nuc_1
659.5261,214091.7,0.1,659.5259,0.13,2,C37 H74 O6 N P ,sc_nuc_1
659.5396,385733.6,0.18,659.5385,1.1,1.5,C38 H76 O6 P ,sc_nuc_1
659.5763,359791.7,0.17,659.5749,1.43,0.5,C39 H80 O5 P ,sc_nuc_1
661.4395,176361.6,0.08,661.4391,0.38,12.5,C42 H62 O4 P ,sc_nuc_1
661.5413,207215.1,0.1,661.5413,-0.01,5.5,C41 H73 O6 ,sc_nuc_1
